time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
01 23:59:29.195Z-01-2023,-2.493,140.7385,10,4.2,mb,19,99,16.495,0.45,us,us7000j3yb,11 22:51:46.040Z-03-2023,"5 km NNE of Jayapura, Indonesia",earthquake,10.43,1.863,0.175,9,reviewed,us,us
01 23:56:53.930Z-01-2023,19.3601,-65.7256,34,3.62,md,14,270,1.1104,0.44,pr,pr2023001004,02 00:32:06.212Z-01-2023,"103 km N of Suárez, Puerto Rico",earthquake,3.64,25.85,0.08,4,reviewed,pr,pr
01 23:54:37.550Z-01-2023,58.2275,-155.180333333333,3.08,-0.76,ml,6,217,,0.06,av,av91082783,04 19:26:22.700Z-01-2023,"85 km NNW of Karluk, Alaska",earthquake,0.48,0.89,0.176357194009573,6,reviewed,av,av
01 23:53:43.560Z-01-2023,38.8445,-122.8415,2.06,0.57,md,21,96,0.007542,0.02,nc,nc73827681,11 04:19:11.822Z-01-2023,"10km NW of The Geysers, CA",earthquake,0.26,0.34,0.096,3,reviewed,nc,nc
01 23:52:28.580Z-01-2023,17.8848333333333,-66.8565,11.19,2.28,md,5,242,0.09231,0.08,pr,pr71390293,18 19:08:07.999Z-01-2024,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,0.84,1.07,0.121458309964007,5,reviewed,pr,pr
01 23:47:41.690Z-01-2023,34.121,-117.4708333,6.91,1.2,ml,36,47,0.03413,0.15,ci,ci40152855,05 17:37:24.883Z-01-2023,"3km NNW of Fontana, CA",earthquake,0.21,0.35,0.076,17,reviewed,ci,ci
01 23:39:52.936Z-01-2023,29.33441162,-97.5368796,2.9590250650000005,1.7,ml,14,72,0.1280168854,0.3,tx,tx2023abuv,17 20:55:22.609Z-01-2023,"12 km NE of Smiley, Texas",earthquake,1.840706255,2.239099499,0.1,6,reviewed,tx,tx
01 23:35:45.680Z-01-2023,19.2195,-155.376333333333,31.53,1.76,md,29,166,,0.12,hv,hv73291217,04 00:01:48.580Z-01-2024,"10 km E of Pāhala, Hawaii",earthquake,0.61,0.68,0.111268182877174,12,reviewed,hv,hv
01 23:34:08.220Z-01-2023,60.4709,-140.4536,13.1,1.9,ml,,,,0.75,ak,ak02321fmqe,23 17:35:50.801Z-01-2023,"110 km NNW of Yakutat, Alaska",earthquake,,0.6,,,reviewed,ak,ak
01 23:27:38.422Z-01-2023,37.051,135.2387,369.061,4.3,mb,108,47,2.231,0.73,us,us7000j1hk,11 22:51:31.040Z-03-2023,"Sea of Japan",earthquake,8.31,6.355,0.065,67,reviewed,us,us
01 23:21:41.540Z-01-2023,19.1686666666667,-155.373333333333,29.12,1.48,md,34,199,,0.14,hv,hv73291207,06 01:55:24.090Z-01-2024,"11 km ESE of Pāhala, Hawaii",earthquake,0.58,0.87,0.102567087322831,13,reviewed,hv,hv
01 23:10:24.070Z-01-2023,33.398,-116.3816667,5.5,1.02,ml,30,64,0.06999,0.17,ci,ci40152847,05 17:29:13.510Z-01-2023,"16km N of Borrego Springs, CA",earthquake,0.23,0.86,0.144,12,reviewed,ci,ci
01 23:10:09.024Z-01-2023,-6.1642,130.3662,110.639,4,mb,14,141,2.03,0.39,us,us7000j3y7,11 22:51:46.040Z-03-2023,"270 km WSW of Tual, Indonesia",earthquake,12.08,13.331,0.196,7,reviewed,us,us
01 23:01:29.036Z-01-2023,-4.5724,151.7111,151.332,4.4,mb,21,72,0.589,0.67,us,us7000j3y8,11 22:51:46.040Z-03-2023,"64 km SW of Rabaul, Papua New Guinea",earthquake,12.16,6.633,0.155,12,reviewed,us,us
01 23:00:27.350Z-01-2023,33.4008333,-116.382,4.64,1.05,ml,34,66,0.0717,0.22,ci,ci40152839,05 17:22:35.054Z-01-2023,"16km N of Borrego Springs, CA",earthquake,0.23,0.59,0.118,17,reviewed,ci,ci
01 22:58:38.250Z-01-2023,33.8195,-116.8726667,14.62,1.31,ml,50,29,0.06424,0.16,ci,ci40152831,05 17:03:02.412Z-01-2023,"8km NNE of Valle Vista, CA",earthquake,0.15,0.33,0.152,31,reviewed,ci,ci
01 22:45:13.450Z-01-2023,58.1838333333333,-155.356333333333,2.05,0.58,ml,10,63,,0.08,av,av91741336,18 21:26:36.527Z-01-2023,"86 km NW of Karluk, Alaska",earthquake,0.23,0.44,0.274636944584012,12,reviewed,av,av
